Unnamed: 0,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,time_signature_clean,genre_group,artist_normalized,genre_simplifié,origine
,$uicideBoy$,Runnin' Thru The 7th With My Woadies,70nmZhHZLNVYWP4NON41Zw,70,0.067,0.526,205766,0.62,0.000241,G#,0.139,-7.244,Minor,0.281,112.027,4/4,0.187,,à catégoriser,$uicideBoy$,rap,remplacé_RAP_classique
,Trey Songz,Solid,7pSn2j9BhIWMqmKDfhkbTQ,70,0.0665,0.574,219052,0.587,0.0,D,0.467,-6.565,Minor,0.066,132.091,4/4,0.353,,à catégoriser,Trey Songz,rap,remplacé_RAP_classique
,Seether,Remedy,5ynxx6zC4dgzsMHLYQ04Dc,70,0.00018,0.546,207213,0.959,0.00144,G#,0.0584,-4.664,Major,0.082,127.831,4/4,0.416,,à catégoriser,Seether,rap,remplacé_RAP_classique
,Amenazzy,Solo,7mTWMsbnRPGmyLOEaImXOU,70,0.3,0.637,231909,0.513,0.000571,B,0.0981,-6.846,Minor,0.283,196.088,4/4,0.27,,à catégoriser,Amenazzy,rap,remplacé_RAP_classique
,2Pac,Only God Can Judge Me,13XHuE00ElL5thSxkaEXxK,70,0.0012,0.803,296907,0.784,0.000161,B,0.0794,-5.97,Minor,0.198,90.185,4/4,0.801,,à catégoriser,2Pac,rap,remplacé_RAP_classique
,XXXTENTACION,Floor 555,6r7ULK6c5CLVvImjTIztl1,70,0.000424,0.695,93447,0.686,0.0023,A,0.365,-8.147,Minor,0.0478,105.219,4/4,0.354,,à catégoriser,XXXTENTACION,rap,remplacé_RAP_classique
,Casanova,2AM (feat. Tory Lanez & Davido),6OIJcRL2yycLyIbzrwOUty,70,0.212,0.767,210693,0.69,1.66e-06,C,0.142,-5.667,Major,0.259,99.842,4/4,0.602,,à catégoriser,Casanova,rap,remplacé_RAP_classique
,Jagged Edge,Where the Party At,5mNV8Mz59bzyuQ53gTw0c0,70,0.31,0.596,232573,0.661,0.0,F,0.0847,-6.239,Minor,0.226,129.491,5/4,0.86,,à catégoriser,Jagged Edge,rap,remplacé_RAP_classique
,Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),7nD9nN3jord9wWcfW3Gkcm,70,0.023,0.689,210573,0.791,0.0,C,0.0526,-5.194,Minor,0.053,95.04,4/4,0.755,,à catégoriser,Fifth Harmony,rap,remplacé_RAP_classique
,Future,Temptation,2gXOzCwbVXACCaYRj4Qrep,70,0.164,0.66,167673,0.55,0.000204,E,0.199,-6.744,Major,0.184,130.004,4/4,0.299,,à catégoriser,Future,rap,remplacé_RAP_classique
,XXXTENTACION,Ayala (Outro),5xbrhx2tMMcN68IT3cJbhS,70,0.737,0.57,99707,0.285,0.0133,A,0.108,-14.125,Minor,0.0381,83.485,4/4,0.0973,,à catégoriser,XXXTENTACION,rap,remplacé_RAP_classique
,Chris Brown,New Flame,3nw9J97nUugT84SIJdjhAV,70,0.0649,0.709,244133,0.638,0.0,C#,0.0969,-4.3,Major,0.0405,141.994,4/4,0.468,,à catégoriser,Chris Brown,rap,remplacé_RAP_classique
,Tinashe,2 On (feat. ScHoolboy Q),3jVtllWS5CFFWLQng8sKsr,70,0.15,0.742,227000,0.595,0.0,A,0.111,-7.51,Major,0.107,101.013,4/4,0.431,,à catégoriser,Tinashe,rap,remplacé_RAP_classique
,Joyner Lucas,I'm Sorry,3dqxngWDgh4tb0VSb83nvc,70,0.252,0.746,349785,0.576,0.0,G#,0.074,-7.461,Major,0.414,110.2,4/4,0.337,,à catégoriser,Joyner Lucas,rap,remplacé_RAP_classique
,Jeremih,All The Time,0USZx50eApN045zIIyjePN,70,0.53,0.679,264200,0.44,5.15e-06,F,0.228,-9.313,Major,0.351,109.959,4/4,0.0336,,à catégoriser,Jeremih,rap,remplacé_RAP_classique
,Saving Abel,Addicted,3pxCXv0NACYfYnLjFcQW5D,70,0.000821,0.512,222827,0.865,0.0,G,0.0982,-4.146,Major,0.0338,138.017,4/4,0.529,,à catégoriser,Saving Abel,rap,remplacé_RAP_classique
,Slipknot,Wait and Bleed,2gscB6kDOmrv1P6qs2KXE3,70,0.00208,0.382,147840,0.996,0.0,G,0.417,-4.119,Major,0.104,93.345,4/4,0.327,,à catégoriser,Slipknot,rap,remplacé_RAP_classique
,OneRepublic,Good Life,6OtCIsQZ64Vs1EbzztvAv4,70,0.0929,0.636,253307,0.699,0.0,F#,0.115,-7.687,Major,0.0551,94.966,4/4,0.637,,à catégoriser,OneRepublic,rap,remplacé_RAP_classique
,Bad Meets Evil,Fast Lane,2c5Isyd07hWsl7AQia2Dig,70,0.0464,0.637,249560,0.861,0.0,C#,0.247,-3.781,Major,0.325,173.838,4/4,0.382,,à catégoriser,Bad Meets Evil,rap,remplacé_RAP_classique
,Tory Lanez,MiAMi (feat. Gunna),6bMIExEulvwM2X6zsuiYwr,70,0.0189,0.674,244470,0.862,0.0,G,0.113,-3.4,Major,0.231,160.073,4/4,0.357,,à catégoriser,Tory Lanez,rap,remplacé_RAP_classique
,Cardi B,Money Bag,1vBeIXlzbAieGoDqInav5j,70,0.107,0.947,229005,0.788,0.000691,A#,0.108,-6.138,Minor,0.124,129.977,4/4,0.454,,à catégoriser,Cardi B,rap,remplacé_RAP_classique
,Kehlani,Love Language,4jM3c9KLTO9iZPm9A7neiL,70,0.124,0.582,213365,0.586,0.0,C#,0.0866,-4.369,Minor,0.0838,89.599,4/4,0.698,,à catégoriser,Kehlani,rap,remplacé_RAP_classique
,Lil Peep,White Wine,3Q241k92c1I5sqKbdw6Ujb,70,0.0121,0.675,155693,0.574,1.11e-05,F#,0.108,-8.066,Major,0.0559,135.037,4/4,0.482,,à catégoriser,Lil Peep,rap,remplacé_RAP_classique
,The Weeknd,Earned It (Fifty Shades Of Grey),4frLb7nWtsz2ymBE6k2GRP,70,0.408,0.647,277680,0.291,0.0,D,0.0771,-8.275,Minor,0.0363,119.839,3/4,0.4,,à catégoriser,The Weeknd,rap,remplacé_RAP_classique
,Cardi B,I Like It - Dillon Francis Remix,6WK7h2WfMmnX7zOZnfzoYo,70,0.00256,0.731,219200,0.854,1.49e-05,F,0.386,-4.635,Minor,0.149,150.163,4/4,0.651,,à catégoriser,Cardi B,rap,remplacé_RAP_classique
,Post Malone,Up There,2rKmNEYrQxaOPZrOWKZpOc,70,0.373,0.654,194827,0.378,1.07e-05,F,0.0971,-8.108,Minor,0.0322,72.976,4/4,0.437,,à catégoriser,Post Malone,rap,remplacé_RAP_classique
,Juice WRLD,Desire,15LOSQ3z91ZB2wMiMhiCjZ,70,0.0963,0.59,189813,0.762,0.0,C#,0.108,-4.671,Minor,0.054,148.011,4/4,0.242,,à catégoriser,Juice WRLD,rap,remplacé_RAP_classique
,Juice WRLD,ON GOD (feat. Young Thug),572BChNcXOIvtfn2TGmTKc,70,0.102,0.795,250272,0.712,0.0,F,0.123,-6.251,Minor,0.0663,146.01,4/4,0.327,,à catégoriser,Juice WRLD,rap,remplacé_RAP_classique
,Juice WRLD,Syphilis,4dOmgE4ULbySxpeGObN8RL,70,0.0625,0.78,131761,0.661,0.0,C#,0.169,-3.028,Major,0.249,148.071,4/4,0.325,,à catégoriser,Juice WRLD,rap,remplacé_RAP_classique
,DMX,X Gon' Give It To Ya,6uP0XLqjRqFx8HAfesdcAg,70,0.0295,0.501,219253,0.851,0.0,A#,0.0775,-5.111,Minor,0.292,95.058,4/4,0.627,,à catégoriser,DMX,rap,remplacé_RAP_classique
,Eric Bellinger,G.O.A.T.,0hUepWE4GoMwtKgU8vE617,70,0.0232,0.467,184905,0.636,0.0,G,0.138,-6.96,Major,0.201,135.014,4/4,0.419,,à catégoriser,Eric Bellinger,rap,remplacé_RAP_classique
,Jhene Aiko,The Worst,2wBCrtJS3E3TimRZ5MElTI,70,0.237,0.524,254493,0.417,1.19e-06,C#,0.139,-9.283,Minor,0.0578,93.59,4/4,0.109,,à catégoriser,Jhene Aiko,rap,remplacé_RAP_classique
,Chris Brown,Pills & Automobiles,4YkwUfWSIxdKNLDXw0caFO,70,0.119,0.82,292910,0.696,0.0,G,0.231,-4.918,Minor,0.182,144.981,4/4,0.617,,à catégoriser,Chris Brown,rap,remplacé_RAP_classique
,YG,SLAY (feat. Quavo),33NEAJosK5zyLY2D4OG7AE,70,0.0682,0.735,284693,0.44,0.0,A#,0.33,-7.647,Minor,0.0469,87.985,4/4,0.239,,à catégoriser,YG,rap,remplacé_RAP_classique
,Trippie Redd,I Tried Loving,7uenITonAmg7wXmFd3kkms,70,0.181,0.624,193510,0.686,0.0,C#,0.19,-4.809,Minor,0.0436,160.076,4/4,0.223,,à catégoriser,Trippie Redd,rap,remplacé_RAP_classique
,Busta Rhymes,Break Ya Neck,0svl7cK07gK1ia5ainczU5,70,0.443,0.82,231240,0.809,0.00175,E,0.0613,-6.759,Minor,0.251,83.011,4/4,0.737,,à catégoriser,Busta Rhymes,rap,remplacé_RAP_classique
,Kehlani,Morning Glory,0kas95RruYRVqrOb07rgkh,70,0.0158,0.589,179337,0.833,0.0,C,0.122,-4.494,Minor,0.118,172.037,4/4,0.653,,à catégoriser,Kehlani,rap,remplacé_RAP_classique
,Rich The Kid,Leave Me,3yAVrwXhueRFZMUjxkh2ia,70,0.0323,0.869,182487,0.56,0.0,A#,0.219,-7.59,Major,0.137,147.9,4/4,0.392,,à catégoriser,Rich The Kid,rap,remplacé_RAP_classique
,Slipknot,Snuff,3RptaQ5Xb8WvtpItZ2f9Hi,70,0.012,0.544,276147,0.69,0.0095,F#,0.0615,-5.723,Minor,0.0425,123.962,4/4,0.219,,à catégoriser,Slipknot,rap,remplacé_RAP_classique
,Vigiland,Shots & Squats,5nIrdpo8eXQU3YgZelEXkd,70,0.00674,0.813,171799,0.819,0.000423,C#,0.225,-5.039,Major,0.121,127.997,4/4,0.279,,à catégoriser,Vigiland,rap,remplacé_RAP_classique
,Marc E. Bassy,You & Me,7yCqehT9dKACTFy7YugP0J,70,0.0459,0.696,218493,0.632,0.0,C#,0.193,-8.307,Major,0.154,85.091,4/4,0.634,,à catégoriser,Marc E. Bassy,rap,remplacé_RAP_classique
,The Notorious B.I.G.,Hypnotize,6Tsu3OsuMz4KEGKbOYd6A0,70,0.176,0.895,230000,0.694,0.0,A,0.292,-4.384,Major,0.275,93.944,4/4,0.632,,à catégoriser,The Notorious B.I.G.,rap,remplacé_RAP_classique
,Lil Mosey,Rarri,1XnJkUVf3A4PVwe6AvaIfN,70,0.0977,0.763,105347,0.583,1.45e-06,C#,0.15,-7.315,Minor,0.0838,82.982,4/4,0.809,,à catégoriser,Lil Mosey,rap,remplacé_RAP_classique
,Meek Mill,Tic Tac Toe (feat. Kodak Black),35J4wXQeRuHNOEArMy6FOe,70,0.00902,0.821,185261,0.72,7.07e-06,A#,0.158,-4.606,Minor,0.222,150.039,4/4,0.285,,à catégoriser,Meek Mill,rap,remplacé_RAP_classique
,Shoreline Mafia,Bottle Service,4k0ZX0KlMBEOlTp5vexIrT,70,0.113,0.849,156837,0.582,0.0,G#,0.152,-6.407,Major,0.214,100.049,4/4,0.516,,à catégoriser,Shoreline Mafia,rap,remplacé_RAP_classique
